# State      Peq     Peq_mut    Peq_mut-Peq    delta_Peq
   1       0.2400   2.6149e-01   8.9463e-02   3.3532e-01
   2       0.1076   1.1724e-01   8.9463e-02   3.3532e-01
   3       0.0836   1.6534e-03  -9.8023e-01  -3.6740e+00
   4       0.5687   6.1961e-01   8.9463e-02   3.3532e-01
