# State      Peq     Peq_mut    Peq_mut-Peq    delta_Peq
   1       0.2400   2.5163e-01   4.8355e-02   6.7063e-02
   2       0.1076   1.1282e-01   4.8355e-02   6.7063e-02
   3       0.0836   3.9323e-02  -5.2982e-01  -7.3480e-01
   4       0.5687   5.9623e-01   4.8355e-02   6.7063e-02
