# State      Peq     Peq_mut    Peq_mut-Peq    delta_Peq
   1       0.2400   2.5874e-01   7.8014e-02   1.6766e-01
   2       0.1076   1.1601e-01   7.8014e-02   1.6766e-01
   3       0.0836   1.2145e-02  -8.5478e-01  -1.8370e+00
   4       0.5687   6.1310e-01   7.8014e-02   1.6766e-01
