# State    State      phi     phi_mut   phi_mut-phi    delta_phi
   0    1       0.0003   2.6549e-04   0.0000e+00   0.0000e+00
   0    2       0.0050   7.4922e-03   4.9321e-01   4.0101e-01
   1    0       0.0001   1.1904e-04   0.0000e+00   0.0000e+00
   1    2       0.0037   5.5793e-03   4.9321e-01   4.0101e-01
   1    3       0.0001   8.1634e-05   0.0000e+00   0.0000e+00
   2    0       0.0017   1.1709e-03  -3.3030e-01  -4.0101e-01
   2    1       0.0029   1.9447e-03  -3.3030e-01  -4.0101e-01
   2    3       0.0002   1.3773e-04  -3.3030e-01  -4.0101e-01
   3    1       0.0004   4.3143e-04   0.0000e+00   0.0000e+00
   3    2       0.0014   2.0883e-03   4.9321e-01   4.0101e-01
