# State    State      phi     phi_mut   phi_mut-phi    delta_phi
   0    1       0.0003   2.6549e-04   0.0000e+00   0.0000e+00
   0    2       0.0050   1.3671e-02   1.7246e+00   1.0025e+00
   1    0       0.0001   1.1904e-04   0.0000e+00   0.0000e+00
   1    2       0.0037   1.0180e-02   1.7246e+00   1.0025e+00
   1    3       0.0001   8.1634e-05   0.0000e+00   0.0000e+00
   2    0       0.0017   6.4169e-04  -6.3298e-01  -1.0025e+00
   2    1       0.0029   1.0658e-03  -6.3298e-01  -1.0025e+00
   2    3       0.0002   7.5481e-05  -6.3298e-01  -1.0025e+00
   3    1       0.0004   4.3143e-04   0.0000e+00   0.0000e+00
   3    2       0.0014   3.8104e-03   1.7246e+00   1.0025e+00
