# State      Peq     Peq_mut    Peq_mut-Peq    delta_Peq
   1       0.2400   2.4684e-01   2.8410e-02   3.3532e-02
   2       0.1076   1.1067e-01   2.8410e-02   3.3532e-02
   3       0.0836   5.7601e-02  -3.1128e-01  -3.6740e-01
   4       0.5687   5.8489e-01   2.8410e-02   3.3532e-02
