# State      Peq     Peq_mut    Peq_mut-Peq    delta_Peq
   1       0.2400   2.4081e-01   3.2977e-03   3.3532e-03
   2       0.1076   1.0797e-01   3.2977e-03   3.3532e-03
   3       0.0836   8.0613e-02  -3.6132e-02  -3.6740e-02
   4       0.5687   5.7061e-01   3.2977e-03   3.3532e-03
