# State    State      phi     phi_mut   phi_mut-phi    delta_phi
   0    1       0.0003   2.6549e-04   0.0000e+00   0.0000e+00
   0    2       0.0050   3.7247e-02   6.4235e+00   2.0051e+00
   1    0       0.0001   1.1904e-04   0.0000e+00   0.0000e+00
   1    2       0.0037   2.7737e-02   6.4235e+00   2.0051e+00
   1    3       0.0001   8.1634e-05   0.0000e+00   0.0000e+00
   2    0       0.0017   2.3551e-04  -8.6529e-01  -2.0051e+00
   2    1       0.0029   3.9117e-04  -8.6529e-01  -2.0051e+00
   2    3       0.0002   2.7703e-05  -8.6529e-01  -2.0051e+00
   3    1       0.0004   4.3143e-04   0.0000e+00   0.0000e+00
   3    2       0.0014   1.0382e-02   6.4235e+00   2.0051e+00
